date,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
5/8/2017 0:00,164,20,7039
5/15/2017 0:00,168,22,6703
5/22/2017 0:00,113,20,5564
5/29/2017 0:00,62,19,4783
6/5/2017 0:00,51,16,4830
6/12/2017 0:00,35,14,4216
6/19/2017 0:00,47,15,4253
6/26/2017 0:00,39,14,4444
7/3/2017 0:00,31,14,3319
7/10/2017 0:00,44,13,4605
7/17/2017 0:00,30,12,4361
7/24/2017 0:00,28,14,4475
7/31/2017 0:00,31,15,5091
8/7/2017 0:00,35,14,4364
8/14/2017 0:00,54,12,4001
8/21/2017 0:00,80,13,4662
8/28/2017 0:00,73,11,4725
9/4/2017 0:00,87,16,5084
9/11/2017 0:00,74,14,4249
9/18/2017 0:00,83,17,5179
9/25/2017 0:00,107,16,6152
10/2/2017 0:00,698,81,38641
10/9/2017 0:00,738,82,39227
10/16/2017 0:00,710,81,37899
10/23/2017 0:00,799,82,37529
10/30/2017 0:00,979,83,39106
11/6/2017 0:00,964,81,39580
11/13/2017 0:00,1100,83,39314
11/20/2017 0:00,967,81,33741
11/27/2017 0:00,1239,81,40868
12/4/2017 0:00,1274,83,34636
12/11/2017 0:00,1737,82,36198
12/18/2017 0:00,3116,81,39326
12/25/2017 0:00,3583,84,38239
1/1/2018 0:00,3738,83,38669
1/8/2018 0:00,4829,84,42344
1/15/2018 0:00,5145,84,37910
1/22/2018 0:00,5135,86,42483
1/29/2018 0:00,5278,84,41836
2/5/2018 0:00,5100,85,42313
2/12/2018 0:00,2827,84,42655
2/19/2018 0:00,2172,86,37574
2/26/2018 0:00,1212,85,34547
3/5/2018 0:00,1034,84,34846
3/12/2018 0:00,945,84,34993
3/19/2018 0:00,837,82,34540
3/26/2018 0:00,738,81,35059
4/2/2018 0:00,693,80,37283
4/9/2018 0:00,634,81,37894
4/16/2018 0:00,604,80,37930
4/23/2018 0:00,532,77,36726
4/30/2018 0:00,509,78,37441
5/7/2018 0:00,448,74,37226
5/14/2018 0:00,417,76,36598
5/21/2018 0:00,357,73,33748
5/28/2018 0:00,384,72,34797
6/4/2018 0:00,283,74,35790
6/11/2018 0:00,280,76,35435
6/18/2018 0:00,182,76,26852
6/25/2018 0:00,221,75,33176
7/2/2018 0:00,247,74,33575
7/9/2018 0:00,226,76,36760
7/16/2018 0:00,226,74,35868
